"<img src=""Front"">"	Thai	Phonetic	Translation	Grammar	Vocabulary	Audio	Module
"<img src=""Answer for Heaven_S01E12_Complication Part 1.th.closedcaptions_00h13m11s525ms-00h13m15s885ms.avif"">"	ที่คุณเรียกผมมาเนี่ย เพราะหมอเซเลบดึงนักข่าว - ไปหมด เรียกร้องความสนใจไปหมดใช่มั้ย	thîi khun rîiak phǒm maa nîia phrɔ́ mɔ̌ɔ see-lêep dʉng nák-khàao - pai mòt rîiak-rɔ́ɔng khwaam-sǒn-jai pai mòt châi mái	You called me because the famous doctor - got all the attention from the reporters?	เรียกร้องความสนใจ: call for attention. Verb + abstract noun pattern	ความสนใจ (khwaam-sǒn-jai): attention/interest; เรียกร้อง (rîiak-rɔ́ɔng): demand/call for	[sound:Answer for Heaven_S01E12_Complication Part 1.th.closedcaptions_00h13m11s525ms-00h13m15s885ms.ogg]	3.4
"<img src=""Answer for Heaven_S01E12_Complication Part 1.th.closedcaptions_00h15m50s925ms-00h15m54s525ms.avif"">"	ชมพูกับจอห์นเคยคบกันมาก่อน เพราะฉะนั้น - ความสัมพันธ์ของเขาน่าจะเป็นเรื่องความรัก	chom-phuu gàp jɔɔn khəəi khóp gan maa gɔ̀ɔn phrɔ́-chá-nán - khwaam-sǎm-phan khɔ̌ɔng khǎo nâa jà pen rʉ̂ʉang khwaam-rák	Chompoo and John were together, - so, it was a romantic relationship.	ความสัมพันธ์: relationship. Abstract relational concept	ความสัมพันธ์ (khwaam-sǎm-phan): relationship; คบกัน (khóp gan): date/be together	[sound:Answer for Heaven_S01E12_Complication Part 1.th.closedcaptions_00h15m50s925ms-00h15m54s525ms.ogg]	3.4
"<img src=""Answer for Heaven_S01E08_Delusion Part 1.th.closedcaptions_00h32m58s205ms-00h33m02s085ms.avif"">"	[ชัย] ติดตามความคืบหน้าของเหตุการณ์นี้ - ได้ที่ไทยทัศน์ที่เดียวแห่งนี้เท่านั้นครับ	dtìt-dtaam khwaam-khʉ̂ʉp-nâa khɔ̌ɔng hèet-gaan níi - dâai thîi thai-thát thîi diiao hɛ̀ng níi thâo-nán khráp	Stay tuned, only on Thaitat.	ความคืบหน้า: progress. Abstract temporal advancement concept	ความคืบหน้า (khwaam-khʉ̂ʉp-nâa): progress; ติดตาม (dtìt-dtaam): follow; เหตุการณ์ (hèet-gaan): event	[sound:Answer for Heaven_S01E08_Delusion Part 1.th.closedcaptions_00h32m58s205ms-00h33m02s085ms.ogg]	3.4
"<img src=""To the Moon and Back_S01E14_Episode 14.th.closedcaptions_00h23m18s800ms-00h23m23s960ms.avif"">"	ว่าการที่คิดว่าลูกจะต้องมีความทุกข์ - นี่มันเป็นสิ่งที่น่ากลัวที่สุดในชีวิตแล้ว	wâa gaan thîi khít wâa lûuk jà dtɔ̂ng mii khwaam-thúk - nîi man pen sìng thîi nâa gluua thîi-sùt nai chii-wít lɛ́ɛo	the thought of my child suffering - is the most terrifying thing in my life.	การที่คิดว่า: the fact that (one) thinks. Complex nominalization with embedded clause	การที่ (gaan thîi): the fact that; ความทุกข์ (khwaam-thúk): suffering	[sound:To the Moon and Back_S01E14_Episode 14.th.closedcaptions_00h23m18s800ms-00h23m23s960ms.ogg]	3.4
"<img src=""Answer for Heaven_S01E12_Complication Part 1.th.closedcaptions_00h15m58s805ms-00h16m03s565ms.avif"">"	หลังจากนั้นชมพูกับเฟรมก็เริ่มคบกัน - ความสัมพันธ์น่าจะเป็นเชิงชู้สาวอย่างแน่นอน	lǎng-jàak nán chom-phuu gàp freem gɔ̂ɔ rə̂əm khóp gan - khwaam-sǎm-phan nâa jà pen chəəng chúu-sǎao yàang nɛ̂ɛ-nɔɔn	And then Chompoo and Frame were together, - so, it must be a sexual relationship.	เป็นเชิงชู้สาว: in the nature of an affair. Abstract categorization	เชิง (chəəng): nature/aspect; ชู้สาว (chúu-sǎao): affair/adultery	[sound:Answer for Heaven_S01E12_Complication Part 1.th.closedcaptions_00h15m58s805ms-00h16m03s565ms.ogg]	3.4
"<img src=""Answer for Heaven_S01E09_Delusion Part 2.th.closedcaptions_00h03m33s685ms-00h03m39s245ms.avif"">"	มันคือความชั่วครับ เราไม่ใช่มนุษย์นะครับ - แค่เราอยู่บนโลกมนุษย์ก็แย่พอแล้วครับ	man khʉʉ khwaam-chûua khráp rao mâi châi má-nút ná khráp - khɛ̂ɛ rao yùu bon lôok má-nút gɔ̂ɔ yɛ̂ɛ phɔɔ lɛ́ɛo khráp	Still evil. We're not humans. - Being down here alone is bad enough.	มันคือความชั่ว: it is evil. Equating with abstract moral concept	ความชั่ว (khwaam-chûua): evil; โลกมนุษย์ (lôok má-nút): human world	[sound:Answer for Heaven_S01E09_Delusion Part 2.th.closedcaptions_00h03m33s685ms-00h03m39s245ms.ogg]	3.4
"<img src=""Answer for Heaven_S01E10_Refusal.th.closedcaptions_00h35m09s605ms-00h35m15s485ms.avif"">"	คุณบอกเองนะว่าไอ้เทปพวกเนี้ย นักข่าวอย่าง - พวกคุณออกไปถ่ายทำมาด้วยความยากลำบาก	khun bɔ̀ɔk eeng ná wâa âi-théep phûuak níia nák-khàao yàang - phûuak khun ɔ̀ɔk pai thàai-tam maa dûuai khwaam-yâak-lam-bàak	You said these tapes, reporters like you - work so hard to get them.	ด้วยความยากลำบาก: with difficulty. Manner using abstract noun	ความยากลำบาก (khwaam-yâak-lam-bàak): difficulty/hardship; ถ่ายทำ (thàai-tam): film/record	[sound:Answer for Heaven_S01E10_Refusal.th.closedcaptions_00h35m09s605ms-00h35m15s485ms.ogg]	3.4
"<img src=""Answer for Heaven_S01E08_Delusion Part 1.th.closedcaptions_00h30m14s605ms-00h30m19s685ms.avif"">"	ทางกองพิสูจน์หลักฐานแจ้งมาแล้วครับว่า - คำให้การของคุณพิมพ์ดาวเป็นความจริงครับ	thaang gɔɔng phí-sùut lák-thǎan jɛ̂ɛng maa lɛ́ɛo khráp wâa - kham hâi gaan khɔ̌ɔng khun phim-daao pen khwaam-jing khráp	The forensics can prove - that Pimdao's statement is true.	คำให้การ...เป็นความจริง: testimony is truth. Nominalized statement as truth	คำให้การ (kham hâi gaan): testimony; ความจริง (khwaam-jing): truth	[sound:Answer for Heaven_S01E08_Delusion Part 1.th.closedcaptions_00h30m14s605ms-00h30m19s685ms.ogg]	3.4
"<img src=""Answer for Heaven_S01E05_Jealousy.th.closedcaptions_00h10m41s365ms-00h10m47s165ms.avif"">"	คนที่เห็นว่าความจริงจังเป็นเรื่องตลก - โดยที่ไม่คิดจะลงมือทำอะไรเองเลยสักอย่าง	khon thîi hěn wâa khwaam-jing-jang pen rʉ̂ʉang dtà-lòk - dooi thîi mâi khít jà long-mʉʉ tam à-rai eeng ləəi sàk yàang	He thinks it's silly to be committed - to something without even trying.	ความจริงจัง: seriousness. Abstract attitude concept	ความจริงจัง (khwaam-jing-jang): seriousness; เรื่องตลก (rʉ̂ʉang dtà-lòk): joke/silly matter	[sound:Answer for Heaven_S01E05_Jealousy.th.closedcaptions_00h10m41s365ms-00h10m47s165ms.ogg]	3.4
"<img src=""Remember You_S01E05_Connection.th.closedcaptions_00h03m56s840ms-00h04m00s640ms.avif"">"	[แฟ้บ] ก็หมายความว่าแกเป็นคนซื่อสัตย์ไง - ใช่ไหม เบื้องหน้าเบื้องหลังก็เหมือนกัน	gɔ̂ɔ mǎai-khwaam wâa gɛɛ pen khon sʉ̂ʉ-sàt ngai - châi mái bʉ̂ʉang-nâa bʉ̂ʉang-lǎng gɔ̂ɔ mʉ̌ʉan gan	What did you mean then? - I was trying to say - you're an honest person.	หมายความว่า: means that. Semantic nominalization	หมายความ (mǎai-khwaam): mean; ซื่อสัตย์ (sʉ̂ʉ-sàt): honest	[sound:Remember You_S01E05_Connection.th.closedcaptions_00h03m56s840ms-00h04m00s640ms.ogg]	3.4
"<img src=""Answer for Heaven_S01E14_Truth Part 1.th.closedcaptions_00h01m23s645ms-00h01m28s285ms.avif"">"	และภาพต่างๆ ที่เธอจินตนาการไว้ตอนที่ตาบอด - มันอาจจะไม่ตรงกับความเป็นจริงก็ได้	lɛ́ phâap dtàang-dtàang thîi thəə jin-dtà-naa-gaan wái dtɔɔn thîi dtaa bɔ̀ɔt - man àat jà mâi dtrong gàp khwaam-pen-jing gɔ̂ɔ dâai	What she pictured when she was blind - might not fit reality.	ความเป็นจริง: reality. Abstract state of being real	ความเป็นจริง (khwaam-pen-jing): reality; จินตนาการ (jin-dtà-naa-gaan): imagine	[sound:Answer for Heaven_S01E14_Truth Part 1.th.closedcaptions_00h01m23s645ms-00h01m28s285ms.ogg]	3.4
"<img src=""Sing Again_S01E18_Episode 18.th.closedcaptions_00h20m14s840ms-00h20m19s000ms.avif"">"	ผมเชื่อว่าแฟนคลับที่ดูอยู่ในวันนั้นเนี่ย - ไม่เชื่อหรอกครับว่ามันเป็นความจริง	phǒm chʉ̂ʉa wâa fɛɛn-khláp thîi duu yùu nai wan nán nîia - mâi chʉ̂ʉa rɔ̀ɔk khráp wâa man pen khwaam-jing	I'm sure her fans - who were at the concert know the truth. - But sir, Pookpik's voice	เป็นความจริง: be truth. Copula with abstract concept	แฟนคลับ (fɛɛn-khláp): fan club	[sound:Sing Again_S01E18_Episode 18.th.closedcaptions_00h20m14s840ms-00h20m19s000ms.ogg]	3.4
"<img src=""Answer for Heaven_S01E08_Delusion Part 1.th.closedcaptions_00h34m40s365ms-00h34m44s204ms.avif"">"	แต่คุณแอ๊ดเลือกที่จะทำเพื่อเรตติ้ง - มากกว่าสนใจความเดือดร้อนของคนอื่นนะครับ	dtɛ̀ɛ khun ɛ́ɛt lʉ̂ʉak thîi jà tam phʉ̂a reet-dtîng - mâak gwàa sǒn-jai khwaam-dʉ̀ʉat-rɔ́ɔn khɔ̌ɔng khon ʉ̀ʉn ná khráp	You chose to do this for the ratings - and got somebody else in trouble.	สนใจความเดือดร้อน: care about trouble. Verb + abstract object	เรตติ้ง (reet-dtîng): ratings; เลือกที่จะ (lʉ̂ʉak thîi jà): choose to	[sound:Answer for Heaven_S01E08_Delusion Part 1.th.closedcaptions_00h34m40s365ms-00h34m44s204ms.ogg]	3.4
"<img src=""Answer for Heaven_S01E11_Benefit.th.closedcaptions_00h05m59s605ms-00h06m05s085ms.avif"">"	ว่ามนุษย์สามารถแยกแยะความดี ความชั่ว - หรือสิ่งไหนควร ไม่ควรออกจากกันได้ยังไง	wâa má-nút sǎa-mâat yɛ̂ɛk-yɛ́ khwaam-dii khwaam-chûua - rʉ̌ʉ sìng nǎi khuuan mâi khuuan ɔ̀ɔk jàak gan dâai yang-ngai	how humans distinguish the good - from the bad, the right from the wrong.	ความดี ความชั่ว: good and evil. Paired abstract moral opposites	แยกแยะ (yɛ̂ɛk-yɛ́): distinguish; ควร (khuuan): should	[sound:Answer for Heaven_S01E11_Benefit.th.closedcaptions_00h05m59s605ms-00h06m05s085ms.ogg]	3.4
"<img src=""Answer for Heaven_S01E12_Complication Part 1.th.closedcaptions_00h38m09s765ms-00h38m14s085ms.avif"">"	นายจอห์นเขาแค่เข้าใจว่าเขาเป็นพ่อ - แต่ไม่ได้หมายความว่าเขาเป็นพ่อจริงๆ นะคะ	naai jɔɔn khǎo khɛ̂ɛ khâo-jai wâa khǎo pen phɔ̂ɔ - dtɛ̀ɛ mâi dâai mǎai-khwaam wâa khǎo pen phɔ̂ɔ jing-jing ná khá	John just thinks he's the father, - but it doesn't mean he really is,	ไม่ได้หมายความว่า: doesn't mean that. Negated semantic nominalization	เข้าใจ (khâo-jai): understand; เป็นพ่อ (pen phɔ̂ɔ): be a father	[sound:Answer for Heaven_S01E12_Complication Part 1.th.closedcaptions_00h38m09s765ms-00h38m14s085ms.ogg]	3.4
"<img src=""Answer for Heaven_S01E15_Truth Part 2.th.closedcaptions_00h38m34s085ms-00h38m39s125ms.avif"">"	ก็คงจะอยากรู้ว่าตัวการที่หากินในความเดือดร้อน - ของชาวบ้านเนี่ยคือใครนะครับ	gɔ̂ɔ khong jà yàak rúu wâa dtua-gaan thîi hǎa-gin nai khwaam-dʉ̀ʉat-rɔ́ɔn - khɔ̌ɔng chaao-bâan nîia khʉʉ khrai ná khráp	wants to know now who the mastermind - that feeds off other people's misery is.	หากินในความเดือดร้อน: profit from suffering. Preposition with abstract noun	ตัวการ (dtua-gaan): mastermind; หากิน (hǎa-gin): make a living/profit	[sound:Answer for Heaven_S01E15_Truth Part 2.th.closedcaptions_00h38m34s085ms-00h38m39s125ms.ogg]	3.4
"<img src=""Oh My Ghost_S01E11_Episode 11.th.closedcaptions_00h10m16s245ms-00h10m20s205ms.avif"">"	ไอ้จิ๋วมันก็แค่เด็กล้างจานอ่ะ แต่ - ความสำเร็จของร้าน ผมนี่เต็มๆ เลยนะครับเชฟ	âi-jǐu man gɔ̂ɔ khɛ̂ɛ dèk láang jaan à dtɛ̀ɛ - khwaam-sǎm-rèt khɔ̌ɔng ráan phǒm nîi dtem-dtem ləəi ná khráp chéep	Jiw is just the scullion, but the bistro's - success was all because of me!	ความสำเร็จ: success. Abstract accomplishment concept	ความสำเร็จ (khwaam-sǎm-rèt): success; เด็กล้างจาน (dèk láang jaan): dishwasher	[sound:Oh My Ghost_S01E11_Episode 11.th.closedcaptions_00h10m16s245ms-00h10m20s205ms.ogg]	3.4
"<img src=""Answer for Heaven_S01E09_Delusion Part 2.th.closedcaptions_00h40m19s365ms-00h40m26s365ms.avif"">"	พระอาทิตย์ของแก้วก็ ต้องอบอุ่น สว่าง - และก็ทำให้แก้วรู้สึกถึงความหวังน่ะค่ะ	phrá-aa-thít khɔ̌ɔng gɛ̂ɛo gɔ̂ɔ dtɔ̂ng òp-ùn sàwàang - lɛ́ gɔ̂ɔ tam hâi gɛ̂ɛo rúu-sʉ̀k thʉ̌ng khwaam-wǎng nâ khá	My sun has to be warm, bright, - and give me hope.	รู้สึกถึงความหวัง: feel hope. Verb + abstract feeling	ความหวัง (khwaam-wǎng): hope; อบอุ่น (òp-ùn): warm	[sound:Answer for Heaven_S01E09_Delusion Part 2.th.closedcaptions_00h40m19s365ms-00h40m26s365ms.ogg]	3.4
"<img src=""Answer for Heaven_S01E12_Complication Part 1.th.closedcaptions_00h17m15s045ms-00h17m19s565ms.avif"">"	นายทำให้เขามีน้ำตา นายไม่รู้จักความรักหรอก - คนอย่างนายไม่มีวันเข้าใจมนุษย์	naai tam hâi khǎo mii nám-dtaa naai mâi rúu-jàk khwaam-rák rɔ̀ɔk - khon yàang naai mâi mii wan khâo-jai má-nút	You make her cry. You don't know love. - You'll never understand humans.	ไม่รู้จักความรัก: don't know love. Negated knowledge of abstract concept	รู้จัก (rúu-jàk): know/recognize; น้ำตา (nám-dtaa): tears	[sound:Answer for Heaven_S01E12_Complication Part 1.th.closedcaptions_00h17m15s045ms-00h17m19s565ms.ogg]	3.4
"<img src=""Remember You_S01E08_Symbol.th.closedcaptions_00h50m07s920ms-00h50m11s640ms.avif"">"	ตำรวจเขาขอความร่วมมือไม่ให้ออกนอกพื้นที่ - โดยที่ไม่ได้รับอนุญาตไม่ใช่เหรอ	dtam-rùuat khǎo khɔ̌ɔ khwaam-rûuam-mʉʉ mâi hâi ɔ̀ɔk nɔ̂ɔk phʉ́ʉn-thîi - dooi thîi mâi dâai ráp à-nú-yâat mâi châi rʉ̌ʉ	Didn't the police ask you - not to leave the area without permission?	ขอความร่วมมือ: request cooperation. Request + abstract action noun	ความร่วมมือ (khwaam-rûuam-mʉʉ): cooperation; อนุญาต (à-nú-yâat): permission	[sound:Remember You_S01E08_Symbol.th.closedcaptions_00h50m07s920ms-00h50m11s640ms.ogg]	3.4
"<img src=""Answer for Heaven_S01E01_Love Sick Part 1.th.closedcaptions_00h08m22s485ms-00h08m26s485ms.avif"">"	[นักข่าว] ปรากฏการณ์พิเศษนี้ผู้เชี่ยวชาญ - ต่างให้ความคิดเห็นที่แตกต่างกันไป	nák-khàao bpraa-gòt-dtà-gaan phí-sèet níi phûu-chîiao-chaan - dtàang hâi khwaam-khít-hěn thîi dtɛ̀ɛk-dtàang gan pai	Experts have different opinions - on this phenomenon.	ให้ความคิดเห็น: give opinion. Give + abstract thought noun	ความคิดเห็น (khwaam-khít-hěn): opinion; ปรากฏการณ์ (bpraa-gòt-dtà-gaan): phenomenon	[sound:Answer for Heaven_S01E01_Love Sick Part 1.th.closedcaptions_00h08m22s485ms-00h08m26s485ms.ogg]	3.4
"<img src=""Answer for Heaven_S01E18_Hope Part 2.th.closedcaptions_00h19m37s725ms-00h19m41s125ms.avif"">"	อารมณ์ความรู้สึกของมนุษย์ - ก็สามารถผลักดันให้มนุษย์ทำความดีมากขึ้นได้ครับ	aa-rom khwaam-rúu-sʉ̀k khɔ̌ɔng má-nút - gɔ̂ɔ sǎa-mâat phà-lák-dan hâi má-nút tam khwaam-dii mâak khʉ̂n dâai khráp	The emotions can also motivate humans - to do more good deeds.	อารมณ์ความรู้สึก: emotions and feelings. Paired abstract psychological concepts	อารมณ์ (aa-rom): emotion; ความรู้สึก (khwaam-rúu-sʉ̀k): feeling	[sound:Answer for Heaven_S01E18_Hope Part 2.th.closedcaptions_00h19m37s725ms-00h19m41s125ms.ogg]	3.4
"<img src=""The Bride of Naga_S01E17_Episode 17.th.closedcaptions_00h21m03s480ms-00h21m09s720ms.avif"">"	เพราะความคิดฝันที่ใกล้เคียงกับความจริง - จะทำให้เรามีแรงจูงใจในการใช้ชีวิต	phrɔ́ khwaam-khít-fǎn thîi glâi-khiiang gàp khwaam-jing - jà tam hâi rao mii rɛɛng-juung-jai nai gaan chái chii-wít	"because dreams that are close to reality - will give us motivation to live life."	ความคิดฝัน...ความจริง: dreams...reality. Contrasting abstract concepts	ความคิดฝัน (khwaam-khít-fǎn): dreams; แรงจูงใจ (rɛɛng-juung-jai): motivation	[sound:The Bride of Naga_S01E17_Episode 17.th.closedcaptions_00h21m03s480ms-00h21m09s720ms.ogg]	3.4
"<img src=""Blue Again 2022 - H264 AAC.th.subtitles_00h46m02s208ms-00h46m06s541ms.avif"">"	เป็นการกลับบ้านสู่อ้อมอกอ้อมใจของครอบครัว - อย่างปลอดภัยและมีความสุขนะครับ	pen gaan glàp bâan sùu ɔ̂ɔm-òk ɔ̂ɔm-jai khɔ̌ɔng khrɔ̂ɔp-khruua - yàang bplɔ̀ɔt-phaai lɛ́ mii khwaam-sùk ná khráp	arrive safely home, back to - the warmth and love of your family.	การกลับบ้าน: returning home. Nominalized journey action	การกลับบ้าน (gaan glàp bâan): returning home; อ้อมอกอ้อมใจ (ɔ̂ɔm-òk ɔ̂ɔm-jai): embrace	[sound:Blue Again 2022 - H264 AAC.th.subtitles_00h46m02s208ms-00h46m06s541ms.ogg]	3.4
"<img src=""Oh My Ghost_S01E05_Episode 5.th.closedcaptions_00h39m17s725ms-00h39m22s085ms.avif"">"	ความจริงผมไม่ชอบให้ใครยืมหรอก - ไอ้พวกผ้าห่มผ้าปูที่นอนเนี่ย มันของส่วนตัว	khwaam-jing phǒm mâi chɔ̂ɔp hâi khrai yʉʉm rɔ̀ɔk - âi-phûuak phâa-hòm phâa-bpuu-thîi-nɔɔn nîia man khɔ̌ɔng-sùuan-dtua	Actually, I don't lend these things - to other people. They're personal things.	ความจริง: truth/actually. Abstract truth as discourse marker	ของส่วนตัว (khɔ̌ɔng-sùuan-dtua): personal items; ยืม (yʉʉm): borrow	[sound:Oh My Ghost_S01E05_Episode 5.th.closedcaptions_00h39m17s725ms-00h39m22s085ms.ogg]	3.4
"<img src=""Mon-rak Transistor 2001 - H264 AAC.th.closedcaptions_01h28m54s250ms-01h28m57s875ms.avif"">"	[เสียงลูกน้องเสือฝ้าย] พี่ พี่ไม่มีความสุข - เอากางเกงในของพี่ไปอยู่กับพี่นะ	phîi phîi mâi mii khwaam-sùk - ao gaang-geeng nai khɔ̌ɔng phîi pai yùu gàp phîi ná	"Don't you know - how deeply I feel for you?"	ไม่มีความสุข: don't have happiness. Negated possession of abstract state	ความสุข (khwaam-sùk): happiness; กางเกงใน (gaang-geeng nai): underwear	[sound:Mon-rak Transistor 2001 - H264 AAC.th.closedcaptions_01h28m54s250ms-01h28m57s875ms.ogg]	3.4
"<img src=""Remember You_S01E14_The Prime Culprit.th.closedcaptions_00h50m56s840ms-00h51m00s000ms.avif"">"	[นักข่าว] แล้วเรื่องนี้ ทางกระทรวงยุติธรรม - จะออกมาแสดงความรับผิดชอบยังไงคะ	lɛ́ɛo rʉ̂ʉang níi thaang grà-suuang yút-dtì-tham - jà ɔ̀ɔk maa sà-dɛɛng khwaam-ráp-phìt-chɔ̂ɔp yang-ngai khá	How will the Ministry of Justice - take responsibility for this?	แสดงความรับผิดชอบ: show responsibility. Display + abstract duty	ความรับผิดชอบ (khwaam-ráp-phìt-chɔ̂ɔp): responsibility; กระทรวงยุติธรรม (grà-suuang yút-dtì-tham): Ministry of Justice	[sound:Remember You_S01E14_The Prime Culprit.th.closedcaptions_00h50m56s840ms-00h51m00s000ms.ogg]	3.4
"<img src=""Answer for Heaven_S01E07_Lost Part 2.th.closedcaptions_00h28m38s685ms-00h28m44s245ms.avif"">"	จริงๆ แล้ว ทุกคนอาจจะแสวงหาความดีอยู่ก็ได้ - ในใจลึกๆ ใครจะไปรู้ ไม่ดีใจเหรอ	jing-jing lɛ́ɛo thúk khon àat jà sàwɛ̌ɛng-hǎa khwaam-dii yùu gɔ̂ɔ dâai - nai jai lʉ́k-lʉ́k khrai jà pai rúu mâi dii-jai rʉ̌ʉ	Actually, maybe they're still - searching for goodness.	แสวงหาความดี: seek goodness. Formal verb + abstract moral concept	แสวงหา (sàwɛ̌ɛng-hǎa): seek/search for; ในใจลึกๆ (nai jai lʉ́k-lʉ́k): deep inside	[sound:Answer for Heaven_S01E07_Lost Part 2.th.closedcaptions_00h28m38s685ms-00h28m44s245ms.ogg]	3.4
"<img src=""Answer for Heaven_S01E16_Disappointment.th.closedcaptions_00h26m22s565ms-00h26m26s085ms.avif"">"	ถ้าผมเอาความรู้ที่อยู่ที่นี่ไปรายงานสวรรค์ - น่าจะเป็นประโยชน์มากกว่าครับ	thâa phǒm ao khwaam-rúu thîi yùu thîi nîi pai raai-ngaan sà-wǎn - nâa jà pen bprà-yòot mâak gwàa khráp	If I report what I learn here to heaven, - it'll be more useful.	เอาความรู้: take knowledge. Transfer of abstract concept	เป็นประโยชน์ (pen bprà-yòot): be useful; สวรรค์ (sà-wǎn): heaven	[sound:Answer for Heaven_S01E16_Disappointment.th.closedcaptions_00h26m22s565ms-00h26m26s085ms.ogg]	3.4
"<img src=""Answer for Heaven_S01E09_Delusion Part 2.th.closedcaptions_00h13m04s405ms-00h13m09s125ms.avif"">"	คุณพ่อหนูกำลังจะมาออกรับผิดแทนหนู - แต่หนูเองที่เปลี่ยนใจออกมาพูดความจริง	khun-phɔ̂ɔ nǔu gam-lang jà maa ɔ̀ɔk ráp-phìt thɛɛn nǔu - dtɛ̀ɛ nǔu eeng thîi plìian-jai ɔ̀ɔk maa phûut khwaam-jing	My father wanted to take the blame, - but I changed my mind and told the truth.	พูดความจริง: speak truth. Utterance + abstract truth	ออกรับผิด (ɔ̀ɔk ráp-phìt): take blame; เปลี่ยนใจ (plìian-jai): change mind	[sound:Answer for Heaven_S01E09_Delusion Part 2.th.closedcaptions_00h13m04s405ms-00h13m09s125ms.ogg]	3.4
"<img src=""Sing Again_S01E05_Episode 5.th.closedcaptions_00h36m13s160ms-00h36m18s000ms.avif"">"	ความจริงวันนี้น่าจะเป็นวันที่ผมมีความสุข - กับงานวันเกิดลูกสาวผมมากที่สุด	khwaam-jing wan níi nâa jà pen wan thîi phǒm mii khwaam-sùk - gàp ngaan wan-gə̀ət lûuk-sǎao phǒm mâak thîi-sùt	I should be having fun - since it's my daughter's birthday,	มีความสุขกับ: have happiness with. Possession + abstract emotion + object	วันเกิด (wan-gə̀ət): birthday; มากที่สุด (mâak thîi-sùt): the most	[sound:Sing Again_S01E05_Episode 5.th.closedcaptions_00h36m13s160ms-00h36m18s000ms.ogg]	3.4
"<img src=""Answer for Heaven_S01E11_Benefit.th.closedcaptions_00h18m20s125ms-00h18m23s485ms.avif"">"	[ดาอ่านข้อความจากหงษ์] "ติดตามคุณชัยมานาน - แล้วค่ะ ในทีวีดูอบอุ่นโรแมนติก"	daa àan khɔ̂ɔ-khwaam jàak hǒng dtìt-dtaam khun chai maa naan - lɛ́ɛo khâ nai thii-wii duu òp-ùn roo-mɛɛn-dtìk	"I've been following you for so long. - You seem so warm and romantic on TV."	ข้อความ: message. Information nominalization	ข้อความ (khɔ̂ɔ-khwaam): message/text; โรแมนติก (roo-mɛɛn-dtìk): romantic	[sound:Answer for Heaven_S01E11_Benefit.th.closedcaptions_00h18m20s125ms-00h18m23s485ms.ogg]	3.4
"<img src=""Answer for Heaven_S01E11_Benefit.th.closedcaptions_00h24m49s765ms-00h24m54s325ms.avif"">"	เลือกเอาแล้วกันว่าคุณจะยอมพูดความจริงในศาล - แล้วก็รับโทษข้อหาให้การเท็จ	lʉ̂ʉak ao lɛ́ɛo gan wâa khun jà yɔɔm phûut khwaam-jing nai sǎan - lɛ́ɛo gɔ̂ɔ ráp thôot khɔ̂ɔ-hǎa hâi gaan thèt	You can choose to tell the truth in court - and be charged for giving false testimony,	ให้การเท็จ: give false testimony. Nominalized legal statement	ให้การ (hâi gaan): testify; เท็จ (thèt): false; ข้อหา (khɔ̂ɔ-hǎa): charge	[sound:Answer for Heaven_S01E11_Benefit.th.closedcaptions_00h24m49s765ms-00h24m54s325ms.ogg]	3.4
"<img src=""Remember You_S01E11_Realization of Truth.th.closedcaptions_01h03m32s880ms-01h03m36s200ms.avif"">"	แต่ก่อนอื่นผมอยากให้เล่าความจริง - ทุกอย่างที่เกิดขึ้นให้ผมฟังก่อนดีกว่า	dtɛ̀ɛ gɔ̀ɔn ʉ̀ʉn phǒm yàak hâi lâo khwaam-jing - thúk yàang thîi gə̀ət khʉ̂n hâi phǒm fang gɔ̀ɔn dii gwàa	But first, I want you to tell me - the truth about everything that happened.	เล่าความจริง: tell the truth. Narration + abstract truth	เล่า (lâo): tell/narrate; ทุกอย่าง (thúk yàang): everything	[sound:Remember You_S01E11_Realization of Truth.th.closedcaptions_01h03m32s880ms-01h03m36s200ms.ogg]	3.4
"<img src=""Answer for Heaven_S01E08_Delusion Part 1.th.closedcaptions_00h23m42s605ms-00h23m48s365ms.avif"">"	อีกอย่าง แก้วว่า พี่แอ๊ดนี่เขาน่าจะต้องการ - ความช่วยเหลือมากกว่าแก้วนะคะ	ìik yàang gɛ̂ɛo wâa phîi ɛ́ɛt nîi khǎo nâa jà dtɔ̂ng-gaan - khwaam-chûuai-lʉ̌ʉa mâak gwàa gɛ̂ɛo ná khá	Besides, I think Ad needs your help - more than I do.	ต้องการความช่วยเหลือ: need help. Need + abstract assistance	ความช่วยเหลือ (khwaam-chûuai-lʉ̌ʉa): help/assistance; อีกอย่าง (ìik yàang): another thing	[sound:Answer for Heaven_S01E08_Delusion Part 1.th.closedcaptions_00h23m42s605ms-00h23m48s365ms.ogg]	3.4
"<img src=""Hormones_S01E11_Episode 11.th.closedcaptions_00h25m00s280ms-00h25m03s800ms.avif"">"	ดาวลองนึกถึงเหตุการณ์ที่ทำให้ดาวมี - ความสุขที่สุดหรือเสียใจมากที่สุดดู	daao lɔɔng nʉ́k thʉ̌ng hèet-gaan thîi tam hâi daao mii - khwaam-sùk thîi-sùt rʉ̌ʉ sǐia-jai mâak thîi-sùt duu	Try to imagine your happiest - or saddest moment.	มีความสุขที่สุด: have the most happiness. Superlative abstract emotion	นึกถึง (nʉ́k thʉ̌ng): think of; เสียใจ (sǐia-jai): sad	[sound:Hormones_S01E11_Episode 11.th.closedcaptions_00h25m00s280ms-00h25m03s800ms.ogg]	3.4
